price,rooms,lat,lng,square_total,square_living,square_kitchen,type_apartment,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,heating_type,hot_water_type,cold_water_type,sewerage_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house
85000000,4,55.722401,37.619944,118.1,87.0,20.0,Вторичка,3.0,Дизайнерский,Во двор,Монолитный,Железобетонные,2012.0,Не присвоен,Есть,Отсутствует,Свайный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,5.0,17.0
35990000,4,55.84869000000001,37.436203000000006,142.0,79.0,12.0,Вторичка,3.2,Евроремонт,Во двор,Монолитный,Железобетонные,2000.0,B,Есть,Есть,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,10.0,12.0
26819335,4,55.770775,37.376626,129.5,70.2,19.1,Вторичка,2.9,Без ремонта,Во двор,Монолитный,Железобетонные,2017.0,B+,Есть,Есть,Сплошной,Центральное,Индивидуальный тепловой пункт (ИТП),Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Смешанные,20.0,24.0
180000000,4,55.738622,37.602813,180.8,75.0,39.0,Вторичка,3.0,Без ремонта,На улицу и двор,Кирпичный,Железобетонные,2003.0,Не присвоен,Есть,Отсутствует,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,2.0,6.0
140000000,4,55.715601,37.526268,236.0,121.0,63.0,Вторичка,3.2,Дизайнерский,Во двор,Монолитный,Железобетонные,2003.0,Не присвоен,Есть,Отсутствует,Свайный,Центральное,"Автономная котельная (крышная, встроенно-пристроенная)",Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,16.0,17.0
37000000,4,55.781302,37.45363,166.6,99.5,14.3,Вторичка,3.0,Дизайнерский,Во двор,Монолитный,Железобетонные,2002.0,Не присвоен,Есть,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,3.0,17.0
22000000,4,55.621338,37.606811,101.2,64.5,10.0,Вторичка,2.64,Евроремонт,На улицу и двор,Панельный,Железобетонные,1990.0,A,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточная вентиляция,Автоматическая,Наружные водостоки,18.0,22.0
76000000,4,55.746507,37.427749,188.0,84.0,18.0,Вторичка,3.0,Евроремонт,На улицу,Монолитный,Железобетонные,2001.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,16.0,22.0
201000000,4,55.76172,37.604592,201.0,110.0,30.0,Вторичка,3.5,Без ремонта,На улицу и двор,Монолитный,Железобетонные,2005.0,B++,Отсутствует,Отсутствует,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ИТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Наружные водостоки,6.0,8.0
18500000,4,55.83021,37.351384,96.0,62.0,10.1,Вторичка,2.64,Косметический,На улицу и двор,Панельный,Железобетонные,1998.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточная вентиляция,Пожарные гидранты,Внутренние водостоки,4.0,16.0
13200000,4,55.60610500000001,37.736518,85.0,60.1,7.0,Вторичка,2.65,Без ремонта,Во двор,Панельный,Железобетонные,1977.0,C,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,9.0,12.0
120000000,4,55.79848000000001,37.520671,222.0,111.0,36.0,Вторичка,3.4,Дизайнерский,Во двор,Монолитный,Железобетонные,2006.0,B,Есть,Есть,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,12.0,57.0
50000000,4,55.80998,37.52165,132.0,75.0,13.0,Вторичка,2.9,Евроремонт,На улицу,Монолитный,Железобетонные,2008.0,Не присвоен,Отсутствует,Отсутствует,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Автоматическая,Наружные водостоки,2.0,23.0
